,LBS_CO2_PER_KWH,LBS_CO2_PER_MILE,Solar Thermal and Photovoltaic,Wind,Other Biomass,Coal,Nuclear,Wood and Wood Derived Fuels,Hydroelectric Conventional,Other Gases,Other,Natural Gas,Petroleum,Geothermal,Total
KS,0.814,0.282,0.001,0.454,0.001,0.343,0.151,0.0,0.001,0.0,0.0,0.047,0.003,0.0,1.0010000000000001
IA,0.825,0.285,0.003,0.552,0.003,0.329,0.0,0.0,0.015,0.0,-0.0,0.096,0.002,0.0,1.0
MS,0.833,0.288,0.006,0.0,0.0,0.082,0.174,0.02,0.0,0.0,0.0,0.718,0.0,0.0,1.0
RI,0.842,0.291,0.03,0.018,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.927,0.001,0.0,0.9980000000000001
TX,0.857,0.297,0.031,0.206,0.001,0.184,0.083,0.002,0.002,0.005,0.001,0.484,0.001,0.0,1.0
FL,0.869,0.301,0.037,0.0,0.008,0.075,0.114,0.009,0.001,0.0,0.011,0.741,0.005,0.0,1.001
LA,0.878,0.304,0.001,0.0,0.001,0.08,0.175,0.021,0.011,0.018,0.006,0.648,0.039,0.0,1.0
DE,0.967,0.335,0.013,0.001,0.017,0.064,0.0,0.0,0.0,0.033,0.0,0.867,0.004,0.0,0.999
AK,0.977,0.338,0.0,0.02,0.006,0.114,0.0,0.0,0.256,0.0,-0.001,0.468,0.137,0.0,1.0
MI,0.988,0.342,0.004,0.067,0.008,0.321,0.297,0.013,0.012,0.01,0.001,0.264,0.01,0.0,1.0070000000000001
MT,1.051,0.364,0.001,0.139,0.0,0.436,0.0,0.001,0.371,0.001,0.011,0.021,0.018,0.0,0.9990000000000001
NM,1.056,0.365,0.05,0.301,0.001,0.356,0.0,0.0,0.003,0.0,-0.0,0.287,0.001,0.001,1.0
AR,1.091,0.378,0.008,0.0,0.001,0.351,0.222,0.013,0.066,0.0,0.0,0.338,0.001,0.0,1.0
NE,1.143,0.395,0.002,0.253,0.002,0.499,0.181,0.0,0.03,0.0,-0.0,0.031,0.001,0.0,0.9990000000000001
CO,1.159,0.401,0.03,0.266,0.001,0.415,0.0,0.002,0.028,0.0,0.001,0.256,0.0,0.0,0.999
OH,1.241,0.429,0.005,0.021,0.003,0.363,0.139,0.002,0.005,0.006,0.0,0.448,0.009,0.0,1.001
WI,1.264,0.437,0.006,0.025,0.006,0.427,0.155,0.01,0.033,0.0,0.0,0.332,0.005,0.0,0.999
ND,1.303,0.451,0.0,0.347,0.0,0.567,0.0,0.0,0.046,0.001,0.001,0.037,0.001,0.0,1.0
IN,1.587,0.549,0.006,0.083,0.005,0.578,0.0,0.0,0.004,0.024,0.005,0.293,0.001,0.0,0.999
UT,1.619,0.56,0.082,0.019,0.002,0.62,0.0,0.0,0.012,0.0,0.004,0.251,0.001,0.01,1.001
WY,1.688,0.584,0.004,0.194,0.0,0.737,0.0,0.0,0.018,0.008,0.002,0.035,0.001,0.0,0.9990000000000001
MO,1.755,0.607,0.002,0.085,0.001,0.752,0.056,0.001,0.022,0.0,0.0,0.079,0.003,0.0,1.001
HI,1.771,0.613,0.055,0.072,0.031,0.118,0.0,0.0,0.013,0.0,0.021,0.0,0.67,0.02,1.0
KY,1.782,0.617,0.001,0.0,0.002,0.713,0.0,0.004,0.07,0.0,0.001,0.208,0.001,0.0,1.0
WV,2.064,0.714,0.0,0.025,0.0,0.906,0.0,0.0,0.026,0.001,-0.0,0.04,0.003,0.0,1.0010000000000001
